shares,videos,channel
1100,0,SocialMedia
1400,0,SocialMedia
4300,0,SocialMedia
479,0,SocialMedia
2500,0,SocialMedia
1200,0,SocialMedia
24500,0,SocialMedia
1200,0,SocialMedia
1500,0,SocialMedia
1400,1,SocialMedia
1800,2+,SocialMedia
1400,1,SocialMedia
1200,0,SocialMedia
1000,0,SocialMedia
1800,0,SocialMedia
1100,0,SocialMedia
2900,0,SocialMedia
2000,2+,SocialMedia
23600,2+,SocialMedia
3600,1,SocialMedia
2600,0,SocialMedia
1800,1,SocialMedia
1400,2+,SocialMedia
5300,0,SocialMedia
8600,0,SocialMedia
1400,2+,SocialMedia
4300,0,SocialMedia
2400,0,SocialMedia
1100,2+,SocialMedia
3000,0,SocialMedia
2800,1,SocialMedia
6400,0,SocialMedia
1600,2+,SocialMedia
5000,1,SocialMedia
824,0,SocialMedia
2300,0,SocialMedia
1600,1,SocialMedia
3700,1,SocialMedia
3600,0,SocialMedia
2600,0,SocialMedia
731,0,SocialMedia
41900,1,SocialMedia
3500,0,SocialMedia
1700,2+,SocialMedia
3600,0,SocialMedia
6800,0,SocialMedia
4700,2+,SocialMedia
12200,0,SocialMedia
2500,0,SocialMedia
1800,2+,SocialMedia
4800,2+,SocialMedia
2500,0,SocialMedia
1100,0,SocialMedia
518,1,SocialMedia
1500,1,SocialMedia
2700,0,SocialMedia
28800,0,SocialMedia
1300,0,SocialMedia
9000,0,SocialMedia
3400,0,SocialMedia
2300,1,SocialMedia
4900,0,SocialMedia
1900,0,SocialMedia
1400,1,SocialMedia
30200,0,SocialMedia
1100,1,SocialMedia
2200,0,SocialMedia
5000,2+,SocialMedia
1700,0,SocialMedia
1500,0,SocialMedia
772,2+,Business
725,1,Entertainment
698,0,Tech
36900,2+,Other
1200,0,Tech
2200,0,Other
1500,2+,Other
2000,0,Tech
14500,0,Other
4800,0,Business
3000,2+,Business
713,1,World
1600,0,Other
902,0,World
7000,1,SocialMedia
962,0,Business
1700,0,Lifestyle
2200,2+,Other
822,1,Lifestyle
1400,2+,Entertainment
1400,1,Tech
2700,2+,World
1600,0,Tech
1200,0,World
2100,1,World
802,2+,Other
2300,2+,Tech
587,0,Entertainment
1100,0,Lifestyle
2100,2+,SocialMedia
897,0,SocialMedia
1700,0,Tech
11700,0,World
2500,0,Other
500,0,Entertainment
611,0,Business
1600,1,Business
1200,1,World
398,1,World
1300,0,Entertainment
958,1,Other
1100,0,Lifestyle
4100,0,World
3100,0,Tech
2300,2+,Entertainment
698,0,Entertainment
824,1,Entertainment
977,0,Other
879,2+,Other
10000,0,SocialMedia
1200,0,Business
1500,0,Business
1700,2+,World
1300,0,World
1700,1,World
976,0,Lifestyle
924,0,World
721,0,Entertainment
3600,1,Other
1600,0,Tech
539,0,World
1500,0,Tech
3400,0,Business
1600,0,Tech
2100,0,Tech
426,1,Entertainment
3500,0,Tech
3700,0,Other
1100,1,Tech
635,0,Tech
1100,0,Business
2700,0,World
1300,1,Other
2300,0,Lifestyle
1300,0,Tech
863,0,Tech
901,2+,Tech
2000,1,Tech
2700,1,Business
2300,0,SocialMedia
936,1,Business
1800,2+,Entertainment
11800,1,Tech
1500,1,Entertainment
3800,1,Other
2000,2+,Other
643,1,Entertainment
859,1,World
804,0,World
1200,0,Entertainment
1100,1,Lifestyle
2900,0,World
319,0,World
1000,0,Business
1500,0,World
786,1,Entertainment
20700,1,Other
994,1,Business
1100,0,Tech
549,1,Entertainment
1000,0,Tech
1100,0,World
12400,0,Other
5800,2+,Entertainment
548,0,Business
4300,0,Tech
1400,2+,Business
1200,0,SocialMedia
923,0,World
5300,0,Business
3000,2+,Other
3700,0,Other
1000,0,World
910,0,Entertainment
1400,1,Other
952,1,World
1600,2+,Entertainment
864,0,Business
751,0,Business
1200,0,World
872,0,World
1200,0,World
2700,0,World
1200,2+,Other
1700,1,Lifestyle
805,0,Other
1900,0,Other
453,0,SocialMedia
1400,0,Lifestyle
11100,1,Tech
1200,2+,Entertainment
751,2+,Entertainment
808,2+,Entertainment
1300,1,Entertainment
686,0,Entertainment
2100,2+,Other
760,2+,Entertainment
761,0,World
811,0,Business
1800,0,Tech
1800,1,Other
1300,0,Business
3000,0,Lifestyle
1500,1,Entertainment
716,1,Entertainment
1300,0,World
1800,0,Business
3500,1,Tech
1000,0,Business
420,0,Business
1700,0,Lifestyle
604,0,Business
1700,1,Entertainment
4200,1,Tech
1800,0,Lifestyle
2100,2+,SocialMedia
666,0,World
2000,2+,World
9900,0,SocialMedia
1800,0,Lifestyle
902,2+,Lifestyle
859,1,Entertainment
3800,1,Entertainment
1000,2+,Other
2800,0,Tech
2200,0,Tech
1400,1,Other
503,0,Entertainment
1200,0,World
880,0,SocialMedia
1700,0,Tech
1600,1,SocialMedia
7200,0,Business
12100,0,Tech
4900,1,Tech
5600,0,SocialMedia
1100,0,World
1600,0,Business
978,2+,Entertainment
6200,0,Entertainment
976,0,World
792,0,World
1100,0,World
1100,0,Business
746,0,World
717,1,World
3000,2+,Other
937,0,Business
923,0,Business
1000,2+,World
995,0,Entertainment
16800,1,Business
1300,0,World
8400,0,Tech
456,0,Other
8600,0,SocialMedia
1000,0,World
12900,2+,World
1100,2+,Entertainment
1600,0,SocialMedia
16300,1,Other
1100,0,Tech
1700,1,Other
2000,1,Business
695,0,World
11000,1,Entertainment
998,0,Tech
1100,0,Business
2300,0,Lifestyle
7900,2+,Entertainment
1600,0,SocialMedia
5000,0,Lifestyle
971,0,Business
984,0,Tech
3900,1,World
849,1,Entertainment
2200,0,Business
1600,0,Entertainment
902,1,World
521,1,World
1100,0,Other
518,2+,Business
1100,2+,Business
1200,0,Entertainment
1200,1,Other
819,1,World
3100,0,Lifestyle
1100,1,Business
690,1,Entertainment
547,0,Entertainment
1400,2+,Tech
939,0,World
2300,1,World
1500,0,Tech
1900,1,World
939,0,Lifestyle
6300,0,Lifestyle
1100,2+,Other
837,0,Business
4400,0,World
2300,0,Business
787,0,Entertainment
846,0,World
782,0,Tech
2200,0,SocialMedia
2400,0,World
1100,0,World
785,1,Entertainment
1000,1,Business
2500,1,Other
1700,0,World
2200,2+,Other
1300,0,World
789,0,Entertainment
722,0,World
2200,0,Business
1600,0,Tech
698,2+,Other
1400,0,Business
1600,0,Other
1100,0,World
775,0,World
12900,1,Other
712,0,Entertainment
1200,0,Tech
2600,0,SocialMedia
1900,1,Tech
978,1,Entertainment
916,0,Business
2200,0,Entertainment
860,1,Business
1500,2+,Entertainment
503,0,Entertainment
2000,2+,Tech
1900,0,Business
1300,1,Entertainment
398,0,Business
1300,0,Lifestyle
1200,0,Tech
1500,0,World
2400,2+,Tech
991,0,Business
846,2+,World
830,0,World
635,0,Entertainment
1900,0,World
2100,0,Other
1400,0,Lifestyle
1800,0,World
4200,2+,Entertainment
21900,2+,Entertainment
1200,0,World
6400,1,Entertainment
4500,2+,Other
1300,0,Business
8300,1,Other
659,0,Entertainment
1200,0,Other
1100,0,Entertainment
707,0,World
598,0,Tech
18600,0,Other
96900,0,Other
2200,1,Business
781,1,World
3100,0,World
4700,0,Business
10300,1,Entertainment
549,0,World
7400,0,Other
1900,0,SocialMedia
1500,1,Tech
20800,1,Entertainment
3000,0,Tech
656,0,World
922,1,Business
969,0,Other
1400,1,Other
1300,0,World
768,0,World
4400,0,Other
1000,2+,Business
616,1,Entertainment
874,0,World
959,0,Tech
1300,0,Entertainment
943,0,Tech
2300,0,Entertainment
1300,1,World
2600,0,Tech
627,0,World
1200,0,World
838,1,World
9900,0,Tech
2300,2+,Other
998,0,World
900,0,Tech
11800,2+,Entertainment
2200,0,Business
988,0,Entertainment
650,1,Other
665,1,Entertainment
1100,1,Other
1700,0,Lifestyle
1000,2+,Entertainment
1600,0,SocialMedia
3300,0,Tech
45100,0,Lifestyle
1200,0,Business
1100,0,Tech
3000,0,Tech
1100,2+,Entertainment
1900,0,Other
1100,0,Entertainment
3600,0,Tech
607,2+,World
4900,0,Tech
623,0,World
1300,0,Entertainment
1700,0,Entertainment
613,1,Entertainment
2400,1,Other
659,0,Entertainment
2800,0,SocialMedia
2700,2+,Entertainment
743,2+,World
3300,1,Lifestyle
5300,0,Business
665,2+,Other
1700,0,Business
1100,1,Business
749,0,World
1300,1,Tech
5400,1,Business
8500,0,World
1300,0,World
5200,0,Entertainment
2200,1,World
5500,0,Business
852,1,Entertainment
2100,0,Other
842,0,Business
755,0,Tech
554,0,Entertainment
2600,1,World
875,2+,World
498,2+,Entertainment
3600,1,Tech
7600,0,Other
1000,1,World
1600,2+,Entertainment
826,0,Lifestyle
664,1,Other
6600,1,Tech
4100,1,Tech
16200,1,Other
3700,2+,Tech
6600,0,SocialMedia
1400,0,Entertainment
715,0,Other
1200,0,World
7600,0,Tech
2600,0,Tech
960,0,World
1600,2+,Other
1200,0,Entertainment
1800,0,SocialMedia
1300,1,World
2200,0,Other
1300,0,Entertainment
1800,0,Tech
32200,1,Entertainment
14400,0,Tech
4100,2+,Other
1000,0,Business
738,0,World
1300,0,Tech
934,0,Tech
1600,0,Lifestyle
1400,1,Business
1900,0,SocialMedia
2500,1,SocialMedia
7400,0,Business
1400,0,Tech
2100,0,Entertainment
5600,0,Entertainment
1100,1,Tech
894,0,World
578,0,Tech
2900,0,Entertainment
